A1	A2	A3
883612800	-6608418032804380965	0.0
883612800	3055235448505306399	0.0
883612800	3729226436453271103	0.0
883612800	6960584904140561905	0.0
883612800	1143350366519272165	0.0
883612800	-8223253218484014081	0.0
883612800	5404213741217308375	0.0
883612800	8613428591356018513	0.0
883612800	7698141674612140154	0.0
883612800	-808100555186871340	0.0
883612800	-6127044689550972165	0.0
883612800	-6709289338693906995	0.0
883612800	7272554081273662707	0.0
883612800	-2188328400355302891	0.0
883612800	-838585202330858845	0.0
883612800	3731922749164573332	0.0
883612800	-435118947543121488	0.0
883612800	6559512777727665192	0.0
883612800	3921521520976143333	0.0
883612800	-2957658584185967655	0.0
886291200	-6608418032804380965	0.0
886291200	3055235448505306399	0.0
886291200	3729226436453271103	0.0
886291200	6960584904140561905	0.0
886291200	1143350366519272165	0.0
886291200	-8223253218484014081	0.0
886291200	5404213741217308375	0.0
886291200	8613428591356018513	0.0
886291200	7698141674612140154	0.0
886291200	-808100555186871340	0.0
886291200	-6127044689550972165	0.0
886291200	-6709289338693906995	0.0
886291200	7272554081273662707	0.0
886291200	-2188328400355302891	0.0
886291200	-838585202330858845	0.0
886291200	3731922749164573332	0.0
886291200	-435118947543121488	0.0
886291200	6559512777727665192	0.0
886291200	3921521520976143333	0.0
886291200	-2957658584185967655	0.0
888710400	-6608418032804380965	0.0
888710400	3055235448505306399	0.0
888710400	3729226436453271103	0.0
888710400	6960584904140561905	0.0
888710400	1143350366519272165	0.0
888710400	-8223253218484014081	0.0
888710400	5404213741217308375	0.0
888710400	8613428591356018513	0.0
888710400	7698141674612140154	0.0
888710400	-808100555186871340	0.0
888710400	-6127044689550972165	0.0
888710400	-6709289338693906995	0.0
888710400	7272554081273662707	0.0
888710400	-2188328400355302891	0.0
888710400	-838585202330858845	0.0
888710400	3731922749164573332	0.0
888710400	-435118947543121488	0.0
888710400	6559512777727665192	0.0
888710400	3921521520976143333	0.0
888710400	-2957658584185967655	0.0
891388800	-6608418032804380965	0.0
891388800	3055235448505306399	0.0
891388800	3729226436453271103	0.0
891388800	6960584904140561905	0.0
891388800	1143350366519272165	0.0
891388800	-8223253218484014081	0.0
891388800	5404213741217308375	0.0
891388800	8613428591356018513	0.0
891388800	7698141674612140154	0.0
891388800	-808100555186871340	0.0
891388800	-6127044689550972165	0.0
891388800	-6709289338693906995	0.0
891388800	7272554081273662707	0.0
891388800	-2188328400355302891	0.0
891388800	-838585202330858845	0.0
891388800	3731922749164573332	0.0
891388800	-435118947543121488	0.0
891388800	6559512777727665192	0.0
891388800	3921521520976143333	0.0
891388800	-2957658584185967655	0.0
893980800	-6608418032804380965	0.0
893980800	3055235448505306399	0.0
893980800	3729226436453271103	0.0
893980800	6960584904140561905	0.0
893980800	1143350366519272165	0.0
893980800	-8223253218484014081	0.0
893980800	5404213741217308375	0.0
893980800	8613428591356018513	0.0
893980800	7698141674612140154	0.0
893980800	-808100555186871340	0.0
893980800	-6127044689550972165	0.0
893980800	-6709289338693906995	0.0
893980800	7272554081273662707	0.0
893980800	-2188328400355302891	0.0
893980800	-838585202330858845	0.0
893980800	3731922749164573332	0.0
893980800	-435118947543121488	0.0
893980800	6559512777727665192	0.0
893980800	3921521520976143333	0.0
893980800	-2957658584185967655	0.0
896659200	-6608418032804380965	3.0
896659200	3055235448505306399	0.0
896659200	3729226436453271103	0.0
896659200	6960584904140561905	2.0
896659200	1143350366519272165	55.0
896659200	-8223253218484014081	1.0
896659200	5404213741217308375	2.0
896659200	8613428591356018513	6.0
896659200	7698141674612140154	172.0
896659200	-808100555186871340	78.0
896659200	-6127044689550972165	70.0
896659200	-6709289338693906995	58.0
896659200	7272554081273662707	1.0
896659200	-2188328400355302891	46.0
896659200	-838585202330858845	26.0
896659200	3731922749164573332	0.0
896659200	-435118947543121488	2.0
896659200	6559512777727665192	451.0
896659200	3921521520976143333	0.0
896659200	-2957658584185967655	252.0
899251200	-6608418032804380965	37.0
899251200	3055235448505306399	0.0
899251200	3729226436453271103	0.0
899251200	6960584904140561905	71.0
899251200	1143350366519272165	219.0
899251200	-8223253218484014081	76.0
899251200	5404213741217308375	17.0
899251200	8613428591356018513	37.0
899251200	7698141674612140154	512.0
899251200	-808100555186871340	274.0
899251200	-6127044689550972165	232.0
899251200	-6709289338693906995	638.0
899251200	7272554081273662707	5.0
899251200	-2188328400355302891	189.0
899251200	-838585202330858845	365.0
899251200	3731922749164573332	1.0
899251200	-435118947543121488	0.0
899251200	6559512777727665192	596.0
899251200	3921521520976143333	0.0
899251200	-2957658584185967655	640.0
901929600	-6608418032804380965	130.0
901929600	3055235448505306399	1.0
901929600	3729226436453271103	1.0
901929600	6960584904140561905	321.0
901929600	1143350366519272165	815.0
901929600	-8223253218484014081	93.0
901929600	5404213741217308375	48.0
901929600	8613428591356018513	38.0
901929600	7698141674612140154	2.218
901929600	-808100555186871340	1.176
901929600	-6127044689550972165	875.0
901929600	-6709289338693906995	6.815
901929600	7272554081273662707	12.0
901929600	-2188328400355302891	711.0
901929600	-838585202330858845	2.254
901929600	3731922749164573332	0.0
901929600	-435118947543121488	0.0
901929600	6559512777727665192	581.0
901929600	3921521520976143333	0.0
901929600	-2957658584185967655	3.747
904608000	-6608418032804380965	509.0
904608000	3055235448505306399	14.0
904608000	3729226436453271103	20.0
904608000	6960584904140561905	267.0
904608000	1143350366519272165	2.718
904608000	-8223253218484014081	590.0
904608000	5404213741217308375	33.0
904608000	8613428591356018513	108.0
904608000	7698141674612140154	2.867
904608000	-808100555186871340	3.935
904608000	-6127044689550972165	1.981
904608000	-6709289338693906995	6.237
904608000	7272554081273662707	177.0
904608000	-2188328400355302891	1.991
904608000	-838585202330858845	3.753
904608000	3731922749164573332	2.0
904608000	-435118947543121488	6.0
904608000	6559512777727665192	525.0
904608000	3921521520976143333	0.0
904608000	-2957658584185967655	5.149
907200000	-6608418032804380965	44.0
907200000	3055235448505306399	20.0
907200000	3729226436453271103	42.0
907200000	6960584904140561905	83.0
907200000	1143350366519272165	1.969
907200000	-8223253218484014081	1.014
907200000	5404213741217308375	3.0
907200000	8613428591356018513	20.0
907200000	7698141674612140154	1.034
907200000	-808100555186871340	5.1370000000000005
907200000	-6127044689550972165	1.093
907200000	-6709289338693906995	3.665
907200000	7272554081273662707	372.0
907200000	-2188328400355302891	2.5860000000000003
907200000	-838585202330858845	483.0
907200000	3731922749164573332	1.0
907200000	-435118947543121488	4.0
907200000	6559512777727665192	434.0
907200000	3921521520976143333	0.0
907200000	-2957658584185967655	1.7380000000000002
909878400	-6608418032804380965	0.0
909878400	3055235448505306399	19.0
909878400	3729226436453271103	131.0
909878400	6960584904140561905	6.0
909878400	1143350366519272165	49.0
909878400	-8223253218484014081	575.0
909878400	5404213741217308375	0.0
909878400	8613428591356018513	4.0
909878400	7698141674612140154	47.0
909878400	-808100555186871340	2.237
909878400	-6127044689550972165	32.0
909878400	-6709289338693906995	1.861
909878400	7272554081273662707	141.0
909878400	-2188328400355302891	424.0
909878400	-838585202330858845	3.0
909878400	3731922749164573332	1.0
909878400	-435118947543121488	21.0
909878400	6559512777727665192	488.0
909878400	3921521520976143333	12.0
909878400	-2957658584185967655	1.0
912470400	-6608418032804380965	7.0
912470400	3055235448505306399	32.0
912470400	3729226436453271103	84.0
912470400	6960584904140561905	196.0
912470400	1143350366519272165	82.0
912470400	-8223253218484014081	276.0
912470400	5404213741217308375	0.0
912470400	8613428591356018513	5.0
912470400	7698141674612140154	13.0
912470400	-808100555186871340	1.399
912470400	-6127044689550972165	21.0
912470400	-6709289338693906995	1.008
912470400	7272554081273662707	59.0
912470400	-2188328400355302891	119.0
912470400	-838585202330858845	33.0
912470400	3731922749164573332	16.0
912470400	-435118947543121488	26.0
912470400	6559512777727665192	121.0
912470400	3921521520976143333	8.0
912470400	-2957658584185967655	9.0
915148800	-6608418032804380965	0.0
915148800	3055235448505306399	58.0
915148800	3729226436453271103	0.0
915148800	6960584904140561905	3.0
915148800	1143350366519272165	114.0
915148800	-8223253218484014081	47.0
915148800	5404213741217308375	0.0
915148800	8613428591356018513	33.0
915148800	7698141674612140154	14.0
915148800	-808100555186871340	54.0
915148800	-6127044689550972165	36.0
915148800	-6709289338693906995	87.0
915148800	7272554081273662707	102.0
915148800	-2188328400355302891	21.0
915148800	-838585202330858845	1.0
915148800	3731922749164573332	15.0
915148800	-435118947543121488	11.0
915148800	6559512777727665192	7.0
915148800	3921521520976143333	36.0
915148800	-2957658584185967655	36.0
917827200	-6608418032804380965	0.0
917827200	3055235448505306399	20.0
917827200	3729226436453271103	1.0
917827200	6960584904140561905	43.0
917827200	1143350366519272165	157.0
917827200	-8223253218484014081	16.0
917827200	5404213741217308375	2.0
917827200	8613428591356018513	10.0
917827200	7698141674612140154	334.0
917827200	-808100555186871340	6.0
917827200	-6127044689550972165	112.0
917827200	-6709289338693906995	285.0
917827200	7272554081273662707	13.0
917827200	-2188328400355302891	22.0
917827200	-838585202330858845	1.0
917827200	3731922749164573332	20.0
917827200	-435118947543121488	2.0
917827200	6559512777727665192	47.0
