A1	A2	A3
883612800	Acre	0.0
883612800	Alagoas	0.0
883612800	Amapa	0.0
883612800	Amazonas	0.0
883612800	Bahia	0.0
883612800	Ceara	0.0
883612800	Distrito Federal	0.0
883612800	Espirito Santo	0.0
883612800	Goias	0.0
883612800	Maranhao	0.0
883612800	Mato Grosso	0.0
883612800	Minas Gerais	0.0
883612800	Paraiba	0.0
883612800	Pará	0.0
883612800	Pernambuco	0.0
883612800	Piau	0.0
883612800	Rio	0.0
883612800	Rondonia	0.0
883612800	Roraima	0.0
883612800	Santa Catarina	0.0
883612800	Sao Paulo	0.0
883612800	Sergipe	0.0
883612800	Tocantins	0.0
886291200	Acre	0.0
886291200	Alagoas	0.0
886291200	Amapa	0.0
886291200	Amazonas	0.0
886291200	Bahia	0.0
886291200	Ceara	0.0
886291200	Distrito Federal	0.0
886291200	Espirito Santo	0.0
886291200	Goias	0.0
886291200	Maranhao	0.0
886291200	Mato Grosso	0.0
886291200	Minas Gerais	0.0
886291200	Paraiba	0.0
886291200	Pará	0.0
886291200	Pernambuco	0.0
886291200	Piau	0.0
886291200	Rio	0.0
886291200	Rondonia	0.0
886291200	Roraima	0.0
886291200	Santa Catarina	0.0
886291200	Sao Paulo	0.0
886291200	Sergipe	0.0
886291200	Tocantins	0.0
888710400	Acre	0.0
888710400	Alagoas	0.0
888710400	Amapa	0.0
888710400	Amazonas	0.0
888710400	Bahia	0.0
888710400	Ceara	0.0
888710400	Distrito Federal	0.0
888710400	Espirito Santo	0.0
888710400	Goias	0.0
888710400	Maranhao	0.0
888710400	Mato Grosso	0.0
888710400	Minas Gerais	0.0
888710400	Paraiba	0.0
888710400	Pará	0.0
888710400	Pernambuco	0.0
888710400	Piau	0.0
888710400	Rio	0.0
888710400	Rondonia	0.0
888710400	Roraima	0.0
888710400	Santa Catarina	0.0
888710400	Sao Paulo	0.0
888710400	Sergipe	0.0
888710400	Tocantins	0.0
891388800	Acre	0.0
891388800	Alagoas	0.0
891388800	Amapa	0.0
891388800	Amazonas	0.0
891388800	Bahia	0.0
891388800	Ceara	0.0
891388800	Distrito Federal	0.0
891388800	Espirito Santo	0.0
891388800	Goias	0.0
891388800	Maranhao	0.0
891388800	Mato Grosso	0.0
891388800	Minas Gerais	0.0
891388800	Paraiba	0.0
891388800	Pará	0.0
891388800	Pernambuco	0.0
891388800	Piau	0.0
891388800	Rio	0.0
891388800	Rondonia	0.0
891388800	Roraima	0.0
891388800	Santa Catarina	0.0
891388800	Sao Paulo	0.0
891388800	Sergipe	0.0
891388800	Tocantins	0.0
893980800	Acre	0.0
893980800	Alagoas	0.0
893980800	Amapa	0.0
893980800	Amazonas	0.0
893980800	Bahia	0.0
893980800	Ceara	0.0
893980800	Distrito Federal	0.0
893980800	Espirito Santo	0.0
893980800	Goias	0.0
893980800	Maranhao	0.0
893980800	Mato Grosso	0.0
893980800	Minas Gerais	0.0
893980800	Paraiba	0.0
893980800	Pará	0.0
893980800	Pernambuco	0.0
893980800	Piau	0.0
893980800	Rio	0.0
893980800	Rondonia	0.0
893980800	Roraima	0.0
893980800	Santa Catarina	0.0
893980800	Sao Paulo	0.0
893980800	Sergipe	0.0
893980800	Tocantins	0.0
896659200	Acre	3.0
896659200	Alagoas	0.0
896659200	Amapa	0.0
896659200	Amazonas	2.0
896659200	Bahia	55.0
896659200	Ceara	1.0
896659200	Distrito Federal	2.0
896659200	Espirito Santo	6.0
896659200	Goias	172.0
896659200	Maranhao	78.0
896659200	Mato Grosso	2.201
896659200	Mato Grosso	82.0
896659200	Minas Gerais	70.0
896659200	Paraiba	3.0
896659200	Paraiba	36.0
896659200	Pará	58.0
896659200	Pernambuco	1.0
896659200	Piau	46.0
896659200	Rio	3.0
896659200	Rio	1.0
896659200	Rio	0.0
896659200	Rondonia	26.0
896659200	Roraima	0.0
896659200	Santa Catarina	2.0
896659200	Sao Paulo	451.0
896659200	Sergipe	0.0
896659200	Tocantins	252.0
899251200	Acre	37.0
899251200	Alagoas	0.0
899251200	Amapa	0.0
899251200	Amazonas	71.0
899251200	Bahia	219.0
899251200	Ceara	76.0
899251200	Distrito Federal	17.0
899251200	Espirito Santo	37.0
899251200	Goias	512.0
899251200	Maranhao	274.0
899251200	Mato Grosso	3.712
899251200	Mato Grosso	360.0
899251200	Minas Gerais	232.0
899251200	Paraiba	0.0
899251200	Paraiba	59.0
899251200	Pará	638.0
899251200	Pernambuco	5.0
899251200	Piau	189.0
899251200	Rio	21.0
899251200	Rio	5.0
899251200	Rio	0.0
899251200	Rondonia	365.0
899251200	Roraima	1.0
899251200	Santa Catarina	0.0
899251200	Sao Paulo	596.0
899251200	Sergipe	0.0
899251200	Tocantins	640.0
901929600	Acre	130.0
901929600	Alagoas	1.0
901929600	Amapa	1.0
901929600	Amazonas	321.0
901929600	Bahia	815.0
901929600	Ceara	93.0
901929600	Distrito Federal	48.0
901929600	Espirito Santo	38.0
901929600	Goias	2.218
901929600	Maranhao	1.176
901929600	Mato Grosso	15.406
901929600	Mato Grosso	228.0
901929600	Minas Gerais	875.0
901929600	Paraiba	3.0
901929600	Paraiba	42.0
901929600	Pará	6.815
901929600	Pernambuco	12.0
901929600	Piau	711.0
901929600	Rio	21.0
901929600	Rio	4.0
901929600	Rio	9.0
901929600	Rondonia	2.254
901929600	Roraima	0.0
901929600	Santa Catarina	0.0
901929600	Sao Paulo	581.0
901929600	Sergipe	0.0
901929600	Tocantins	3.747
904608000	Acre	509.0
904608000	Alagoas	14.0
904608000	Amapa	20.0
904608000	Amazonas	267.0
904608000	Bahia	2.718
904608000	Ceara	590.0
904608000	Distrito Federal	33.0
904608000	Espirito Santo	108.0
904608000	Goias	2.867
904608000	Maranhao	3.935
904608000	Mato Grosso	10.363
904608000	Mato Grosso	457.0
904608000	Minas Gerais	1.981
904608000	Paraiba	50.0
904608000	Paraiba	61.0
904608000	Pará	6.237
904608000	Pernambuco	177.0
904608000	Piau	1.991
904608000	Rio	44.0
904608000	Rio	51.0
904608000	Rio	60.0
904608000	Rondonia	3.753
904608000	Roraima	2.0
904608000	Santa Catarina	6.0
904608000	Sao Paulo	525.0
904608000	Sergipe	0.0
904608000	Tocantins	5.149
907200000	Acre	44.0
907200000	Alagoas	20.0
907200000	Amapa	42.0
907200000	Amazonas	83.0
907200000	Bahia	1.969
907200000	Ceara	1.014
907200000	Distrito Federal	3.0
907200000	Espirito Santo	20.0
907200000	Goias	1.034
907200000	Maranhao	5.1370000000000005
907200000	Mato Grosso	2.707
907200000	Mato Grosso	576.0
907200000	Minas Gerais	1.093
907200000	Paraiba	179.0
907200000	Paraiba	61.0
907200000	Pará	3.665
907200000	Pernambuco	372.0
907200000	Piau	2.5860000000000003
907200000	Rio	6.0
907200000	Rio	55.0
907200000	Rio	169.0
907200000	Rondonia	483.0
907200000	Roraima	1.0
907200000	Santa Catarina	4.0
907200000	Sao Paulo	434.0
907200000	Sergipe	0.0
907200000	Tocantins	1.7380000000000002
909878400	Acre	0.0
909878400	Alagoas	19.0
909878400	Amapa	131.0
909878400	Amazonas	6.0
909878400	Bahia	49.0
909878400	Ceara	575.0
909878400	Distrito Federal	0.0
909878400	Espirito Santo	4.0
909878400	Goias	47.0
909878400	Maranhao	2.237
909878400	Mato Grosso	182.0
909878400	Mato Grosso	306.0
909878400	Minas Gerais	32.0
909878400	Paraiba	46.0
909878400	Paraiba	143.0
909878400	Pará	1.861
909878400	Pernambuco	141.0
909878400	Piau	424.0
909878400	Rio	6.0
909878400	Rio	41.0
909878400	Rio	28.0
909878400	Rondonia	3.0
909878400	Roraima	1.0
909878400	Santa Catarina	21.0
909878400	Sao Paulo	488.0
909878400	Sergipe	12.0
909878400	Tocantins	1.0
912470400	Acre	7.0
912470400	Alagoas	32.0
912470400	Amapa	84.0
912470400	Amazonas	196.0
912470400	Bahia	82.0
912470400	Ceara	276.0
912470400	Distrito Federal	0.0
912470400	Espirito Santo	5.0
912470400	Goias	13.0
912470400	Maranhao	1.399
912470400	Mato Grosso	76.0
912470400	Mato Grosso	100.0
912470400	Minas Gerais	21.0
912470400	Paraiba	51.0
912470400	Paraiba	82.0
912470400	Pará	1.008
912470400	Pernambuco	59.0
912470400	Piau	119.0
912470400	Rio	1.0
912470400	Rio	19.0
912470400	Rio	605.0
912470400	Rondonia	33.0
912470400	Roraima	16.0
912470400	Santa Catarina	26.0
912470400	Sao Paulo	121.0
912470400	Sergipe	8.0
912470400	Tocantins	9.0
915148800	Acre	0.0
915148800	Alagoas	58.0
915148800	Amapa	0.0
915148800	Amazonas	3.0
915148800	Bahia	114.0
915148800	Ceara	47.0
915148800	Distrito Federal	0.0
915148800	Espirito Santo	33.0
915148800	Goias	14.0
915148800	Maranhao	54.0
915148800	Mato Grosso	39.0
915148800	Mato Grosso	239.0
915148800	Minas Gerais	36.0
915148800	Paraiba	26.0
915148800	Paraiba	7.0
915148800	Pará	87.0
915148800	Pernambuco	102.0
915148800	Piau	21.0
915148800	Rio	0.0
915148800	Rio	32.0
915148800	Rio	63.0
915148800	Rondonia	1.0
915148800	Roraima	15.0
915148800	Santa Catarina	11.0
915148800	Sao Paulo	7.0
